* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -19.3 dBFS, measurement signal peak level -10.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:02:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -10.8802 ms (-3.732 m, -(12 ft 2.9 in)) using IR start time relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Popularity Ambient L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 32.888, 104.1085
1.015000, 32.847, 114.5421
1.030000, 32.844, 119.7747
1.044000, 32.878, 122.4461
1.060000, 32.964, 124.1098
1.075000, 33.095, 124.8745
1.090000, 33.277, 125.1650
1.106000, 33.535, 125.1868
1.120000, 33.820, 125.1311
1.138000, 34.267, 125.0396
1.150000, 34.613, 124.9673
1.172000, 35.334, 124.8011
1.180000, 35.621, 124.7280
1.206000, 36.637, 124.4379
1.220000, 37.228, 124.2468
1.241000, 38.162, 123.9127
1.250000, 38.576, 123.7521
1.265000, 39.281, 123.4610
1.280000, 39.999, 123.1410
1.315000, 41.699, 122.2839
1.320000, 41.941, 122.1490
1.340000, 42.904, 121.5796
1.360000, 43.845, 120.9630
1.380000, 44.752, 120.3005
1.400000, 45.612, 119.5937
1.430000, 46.790, 118.4541
1.450000, 47.485, 117.6464
1.475000, 48.253, 116.6144
1.500000, 48.945, 115.6267
1.525000, 49.583, 114.7025
1.550000, 50.176, 113.8269
1.575000, 50.726, 112.9840
1.600000, 51.241, 112.1604
1.625000, 51.724, 111.3452
1.650000, 52.181, 110.5293
1.675000, 52.617, 109.7051
1.700000, 53.037, 108.8665
1.725000, 53.445, 108.0085
1.750000, 53.847, 107.1269
1.775000, 54.248, 106.2183
1.800000, 54.653, 105.2806
1.825000, 55.064, 104.3166
1.850000, 55.476, 103.3459
1.875000, 55.879, 102.3943
1.900000, 56.270, 101.4677
1.925000, 56.649, 100.5629
1.950000, 57.018, 99.6755
1.975000, 57.376, 98.8013
2.000000, 57.726, 97.9362
2.030000, 58.136, 96.9050
2.060000, 58.536, 95.8758
2.090000, 58.927, 94.8435
2.120000, 59.312, 93.8031
2.140000, 59.565, 93.1029
2.180000, 60.067, 91.6834
2.200000, 60.315, 90.9663
2.240000, 60.801, 89.5410
2.270000, 61.156, 88.4916
2.300000, 61.501, 87.4595
2.330000, 61.839, 86.4427
2.360000, 62.170, 85.4386
2.400000, 62.601, 84.1151
2.430000, 62.916, 83.1305
2.470000, 63.330, 81.8234
2.500000, 63.634, 80.8439
2.540000, 64.035, 79.5351
2.580000, 64.428, 78.2246
2.620000, 64.812, 76.9255
2.650000, 65.093, 75.9634
2.690000, 65.460, 74.6976
