* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -19.5 dBFS, measurement signal peak level -10.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:29:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.0719 ms (-1.054 m, -(3 ft 5.5 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,158.9 ppm
* Measurement: Popularity Passive R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.332, 121.6067
1.015000, 40.627, 121.4825
1.030000, 40.921, 121.3316
1.044000, 41.194, 121.1669
1.060000, 41.504, 120.9509
1.075000, 41.793, 120.7221
1.090000, 42.080, 120.4706
1.106000, 42.386, 120.1920
1.120000, 42.651, 119.9616
1.138000, 42.990, 119.6944
1.150000, 43.215, 119.5314
1.172000, 43.624, 119.2542
1.180000, 43.772, 119.1578
1.206000, 44.250, 118.8512
1.220000, 44.505, 118.6854
1.241000, 44.885, 118.4287
1.250000, 45.046, 118.3143
1.265000, 45.314, 118.1159
1.280000, 45.581, 117.9060
1.315000, 46.196, 117.3626
1.320000, 46.283, 117.2781
1.340000, 46.629, 116.9213
1.360000, 46.972, 116.5329
1.380000, 47.312, 116.1115
1.400000, 47.649, 115.6560
1.430000, 48.149, 114.9081
1.450000, 48.478, 114.3682
1.475000, 48.885, 113.6674
1.500000, 49.286, 112.9860
1.525000, 49.682, 112.3388
1.550000, 50.073, 111.7166
1.575000, 50.459, 111.1085
1.600000, 50.840, 110.5054
1.625000, 51.216, 109.8992
1.650000, 51.588, 109.2833
1.675000, 51.955, 108.6520
1.700000, 52.318, 108.0005
1.725000, 52.676, 107.3251
1.750000, 53.030, 106.6225
1.775000, 53.380, 105.8902
1.800000, 53.727, 105.1267
1.825000, 54.069, 104.3351
1.850000, 54.407, 103.5337
1.875000, 54.740, 102.7463
1.900000, 55.069, 101.9774
1.925000, 55.394, 101.2232
1.950000, 55.713, 100.4789
1.975000, 56.029, 99.7402
2.000000, 56.341, 99.0030
2.030000, 56.709, 98.1155
2.060000, 57.072, 97.2195
2.090000, 57.430, 96.3102
2.120000, 57.783, 95.3832
2.140000, 58.016, 94.7537
2.180000, 58.475, 93.4647
2.200000, 58.702, 92.8082
2.240000, 59.148, 91.4986
2.270000, 59.476, 90.5318
2.300000, 59.799, 89.5779
2.330000, 60.117, 88.6341
2.360000, 60.429, 87.6972
2.400000, 60.839, 86.4535
2.430000, 61.141, 85.5211
2.470000, 61.537, 84.2731
2.500000, 61.829, 83.3301
2.540000, 62.213, 82.0596
2.580000, 62.590, 80.7774
2.620000, 62.959, 79.5001
2.650000, 63.231, 78.5511
2.690000, 63.586, 77.2982
2.720000, 63.848, 76.3668
2.760000, 64.191, 75.1342
2.800000, 64.527, 73.9095
2.850000, 64.939, 72.3852
2.900000, 65.342, 70.8622
2.950000, 65.737, 69.3382
3.000000, 66.121, 67.8215
3.040000, 66.422, 66.6184
3.070000, 66.643, 65.7232
3.110000, 66.933, 64.5394
3.150000, 67.217, 63.3667
3.200000, 67.565, 61.9154
3.250000, 67.906, 60.4783
3.300000, 68.240, 59.0522
3.350000, 68.566, 57.6350
3.400000, 68.884, 56.2286
3.450000, 69.194, 54.8367
3.500000, 69.497, 53.4618
3.550000, 69.793, 52.1054
3.600000, 70.083, 50.7678
3.650000, 70.367, 49.4477
3.700000, 70.646, 48.1413
3.750000, 70.918, 46.8455
3.820000, 71.288, 45.0530
3.870000, 71.545, 43.7919
3.950000, 71.945, 41.8128
4.000000, 72.190, 40.6012
4.060000, 72.477, 39.1693
4.120000, 72.757, 37.7550
4.180000, 73.029, 36.3587
4.250000, 73.338, 34.7572
4.310000, 73.597, 33.4117
4.370000, 73.851, 32.0928
4.440000, 74.140, 30.5830
4.500000, 74.381, 29.3078
4.550000, 74.577, 28.2587
4.620000, 74.847, 26.8138
4.680000, 75.072, 25.6001
4.750000, 75.330, 24.2142
4.820000, 75.582, 22.8560
4.870000, 75.758, 21.8995
4.940000, 75.999, 20.5802
5.000000, 76.201, 19.4702
5.080000, 76.465, 18.0230
5.150000, 76.690, 16.7868
5.220000, 76.911, 15.5733
5.300000, 77.157, 14.2123
5.380000, 77.397, 12.8825
5.450000, 77.602, 11.7471
5.520000, 77.803, 10.6375
5.600000, 78.028, 9.3954
5.700000, 78.302, 7.8807
5.800000, 78.568, 6.4134
5.900000, 78.828, 4.9957
6.000000, 79.081, 3.6202
6.080000, 79.279, 2.5493
6.150000, 79.449, 1.6353
6.220000, 79.617, 0.7435
6.300000, 79.806, -0.2500
6.400000, 80.037, -1.4572
6.500000, 80.265, -2.6271
6.600000, 80.489, -3.7598
6.700000, 80.710, -4.8564
6.800000, 80.927, -5.9208
6.900000, 81.142, -6.9568
7.000000, 81.354, -7.9664
7.100000, 81.565, -8.9504
7.200000, 81.773, -9.9123
7.300000, 81.979, -10.8573
7.400000, 82.182, -11.7871
7.500000, 82.384, -12.7020
7.620000, 82.623, -13.7839
7.750000, 82.877, -14.9421
7.880000, 83.126, -16.0867
8.000000, 83.351, -17.1300
8.120000, 83.570, -18.1619
8.250000, 83.802, -19.2678
8.380000, 84.026, -20.3542
8.500000, 84.227, -21.3371
8.620000, 84.421, -22.3017
8.750000, 84.624, -23.3175
8.850000, 84.776, -24.0746
9.000000, 84.996, -25.1729
9.120000, 85.167, -26.0139
9.250000, 85.348, -26.8832
9.380000, 85.524, -27.7117
9.500000, 85.685, -28.4410
9.620000, 85.845, -29.1357
9.750000, 86.015, -29.8536
9.880000, 86.177, -30.5422
10.000000, 86.317, -31.1546
10.150000, 86.482, -31.8949
10.300000, 86.640, -32.6202
10.440000, 86.784, -33.2880
10.600000, 86.947, -34.0487
10.750000, 87.102, -34.7667
10.900000, 87.256, -35.4896
11.060000, 87.417, -36.2675
11.200000, 87.553, -36.9533
11.380000, 87.722, -37.8339
11.500000, 87.830, -38.4181
11.720000, 88.021, -39.4717
11.800000, 88.088, -39.8461
12.060000, 88.302, -41.0234
12.200000, 88.415, -41.6260
12.410000, 88.580, -42.4873
12.500000, 88.650, -42.8402
12.650000, 88.765, -43.4078
12.800000, 88.878, -43.9524
13.150000, 89.142, -45.1490
13.200000, 89.180, -45.3135
13.400000, 89.334, -45.9601
13.600000, 89.490, -46.5941
13.800000, 89.647, -47.2210
14.000000, 89.803, -47.8445
14.300000, 90.035, -48.7769
14.500000, 90.187, -49.3966
14.750000, 90.374, -50.1664
15.000000, 90.560, -50.9276
15.250000, 90.747, -51.6765
15.500000, 90.933, -52.4112
15.750000, 91.118, -53.1324
16.000000, 91.302, -53.8436
16.250000, 91.485, -54.5513
16.500000, 91.667, -55.2615
16.750000, 91.847, -55.9786
17.000000, 92.025, -56.7017
17.250000, 92.200, -57.4238
17.500000, 92.368, -58.1328
17.750000, 92.530, -58.8132
18.000000, 92.687, -59.4524
18.250000, 92.843, -60.0437
18.500000, 93.000, -60.5896
18.750000, 93.162, -61.1031
19.000000, 93.329, -61.6024
19.250000, 93.501, -62.1085
19.500000, 93.676, -62.6359
19.750000, 93.849, -63.1899
20.000000, 94.019, -63.7657
20.299999, 94.214, -64.4660
20.600000, 94.400, -65.1501
20.900000, 94.581, -65.7981
21.200001, 94.760, -66.4072
21.400000, 94.880, -66.7994
21.799999, 95.123, -67.5851
22.000000, 95.246, -67.9937
22.400000, 95.487, -68.8597
22.700001, 95.661, -69.5429
23.000000, 95.826, -70.2312
23.299999, 95.984, -70.9009
23.600000, 96.138, -71.5387
24.000000, 96.347, -72.3500
24.299999, 96.510, -72.9598
24.700001, 96.733, -73.8295
25.000000, 96.898, -74.5468
25.400000, 97.108, -75.5814
25.799999, 97.299, -76.6516
26.200001, 97.473, -77.6864
26.500000, 97.598, -78.4130
26.900000, 97.765, -79.3199
27.200001, 97.893, -79.9758
27.600000, 98.069, -80.8556
28.000000, 98.244, -81.7605
28.500000, 98.453, -82.9091
29.000000, 98.654, -84.0382
29.500000, 98.850, -85.1522
30.000000, 99.039, -86.2946
30.400000, 99.175, -87.2325
30.700001, 99.265, -87.9258
31.100000, 99.369, -88.7855
31.500000, 99.459, -89.5180
32.000000, 99.570, -90.2184
32.500000, 99.698, -90.7230
33.000000, 99.855, -91.1346
33.500000, 100.040, -91.5599
34.000000, 100.251, -92.0862
34.500000, 100.480, -92.7813
35.000000, 100.713, -93.6812
35.500000, 100.934, -94.7700
36.000000, 101.133, -95.9805
36.500000, 101.307, -97.2225
37.000000, 101.464, -98.4198
37.500000, 101.613, -99.5355
38.200001, 101.827, -100.9951
38.700001, 101.992, -102.0491
39.500000, 102.260, -103.9274
40.000000, 102.414, -105.2447
40.599998, 102.571, -106.9068
41.200001, 102.694, -108.5637
41.799999, 102.791, -110.1402
42.500000, 102.882, -111.8156
43.099998, 102.957, -113.1010
43.700001, 103.040, -114.3035
44.400002, 103.144, -115.7050
45.000000, 103.226, -116.9148
45.500000, 103.288, -117.8842
46.200001, 103.373, -119.1481
46.799999, 103.452, -120.1999
47.500000, 103.541, -121.4693
48.200001, 103.606, -122.7320
48.700001, 103.640, -123.5477
49.400002, 103.687, -124.5232
50.000000, 103.743, -125.2813
50.799999, 103.839, -126.3665
51.500000, 103.924, -127.4146
52.200001, 104.008, -128.4902
53.000000, 104.113, -129.7271
53.799999, 104.233, -131.0094
54.500000, 104.346, -132.2216
55.200001, 104.449, -133.4581
56.000000, 104.569, -134.7108
57.000000, 104.787, -136.4353
58.000000, 104.944, -138.9656
59.000000, 104.940, -141.2511
60.000000, 104.940, -143.0221
60.799999, 104.936, -144.5872
61.500000, 104.901, -145.9520
62.200001, 104.857, -147.2072
63.000000, 104.810, -148.5793
64.000000, 104.755, -150.2062
65.000000, 104.715, -151.6985
66.000000, 104.695, -153.0539
67.000000, 104.702, -154.3392
68.000000, 104.724, -155.6812
69.000000, 104.751, -157.0875
70.000000, 104.787, -158.6602
71.000000, 104.820, -160.5096
72.000000, 104.834, -162.6512
73.000000, 104.817, -165.0336
74.000000, 104.758, -167.5493
75.000000, 104.652, -170.0541
76.199997, 104.474, -172.8864
77.500000, 104.230, -175.6759
78.800003, 103.944, -178.1217
80.000000, 103.667, 179.9243
81.199997, 103.393, 178.1866
82.500000, 103.110, 176.4908
83.800003, 102.836, 174.9820
85.000000, 102.596, 173.7997
86.199997, 102.371, 172.7256
87.500000, 102.130, 171.6199
88.500000, 101.942, 170.8160
90.000000, 101.685, 169.6317
91.199997, 101.486, 168.3561
92.500000, 101.224, 166.8205
93.800003, 100.945, 165.3373
95.000000, 100.681, 163.8004
96.199997, 100.380, 162.0906
97.500000, 99.998, 160.1648
98.800003, 99.538, 158.3001
100.000000, 99.038, 156.8046
101.500000, 98.300, 155.3071
103.000000, 97.398, 154.5006
104.400002, 96.425, 154.9353
106.000000, 95.260, 157.3372
107.500000, 94.269, 161.7549
109.000000, 93.525, 167.7665
110.599998, 93.055, 174.8173
112.000000, 92.860, -179.4942
113.800003, 92.801, -173.5612
115.000000, 92.857, -170.6123
117.199997, 93.167, -167.0578
118.000000, 93.304, -166.4659
120.599998, 93.356, -162.2604
122.000000, 93.551, -157.7979
124.099998, 93.937, -153.1814
125.000000, 94.055, -151.8501
126.500000, 94.218, -150.1783
128.000000, 94.371, -149.1560
131.500000, 94.725, -147.2586
132.000000, 94.772, -146.9891
134.000000, 94.926, -145.9884
136.000000, 95.031, -145.3384
138.000000, 95.128, -144.7960
140.000000, 95.259, -144.3362
143.000000, 95.396, -143.3768
145.000000, 95.458, -142.6297
147.500000, 95.518, -142.1797
150.000000, 95.568, -141.9714
152.500000, 95.623, -142.0484
155.000000, 95.593, -142.6755
157.500000, 95.564, -143.1656
160.000000, 95.631, -143.2684
162.500000, 95.639, -143.2421
165.000000, 95.381, -142.8507
167.500000, 95.040, -142.4852
170.000000, 94.801, -142.4359
172.500000, 94.661, -142.3116
175.000000, 94.444, -141.9554
177.500000, 94.161, -141.1057
180.000000, 93.908, -140.6104
182.500000, 93.614, -139.8016
185.000000, 93.328, -138.4641
187.500000, 93.036, -137.3998
190.000000, 92.749, -136.3046
192.500000, 92.481, -135.0227
195.000000, 92.206, -133.4984
197.500000, 91.939, -131.9009
200.000000, 91.679, -130.3475
203.000000, 91.356, -128.3920
206.000000, 91.025, -126.4263
209.000000, 90.698, -124.3642
212.000000, 90.390, -121.9918
214.000000, 90.195, -120.3339
218.000000, 89.835, -116.8990
220.000000, 89.677, -115.1834
224.000000, 89.378, -111.9076
227.000000, 89.129, -109.5731
230.000000, 88.849, -107.1753
233.000000, 88.567, -104.5211
236.000000, 88.271, -101.4406
240.000000, 87.887, -97.3314
243.000000, 87.620, -94.8261
247.000000, 87.309, -91.1154
250.000000, 87.097, -88.1724
254.000000, 86.832, -84.2485
258.000000, 86.556, -80.0937
262.000000, 86.260, -76.2334
265.000000, 86.041, -73.2814
269.000000, 85.743, -69.0321
272.000000, 85.548, -65.8830
276.000000, 85.315, -61.6374
280.000000, 85.041, -56.8457
285.000000, 84.672, -51.0687
290.000000, 84.342, -45.0903
295.000000, 84.065, -38.7864
300.000000, 83.802, -32.1664
304.000000, 83.599, -26.6876
307.000000, 83.475, -22.3785
311.000000, 83.371, -16.2990
315.000000, 83.381, -10.0099
320.000000, 83.578, -2.6016
325.000000, 83.871, 3.3309
330.000000, 84.088, 7.8413
335.000000, 84.149, 12.0288
340.000000, 84.102, 16.6226
345.000000, 84.040, 21.7798
350.000000, 84.019, 27.2689
355.000000, 84.042, 32.8000
360.000000, 84.084, 38.2307
365.000000, 84.144, 43.2517
370.000000, 84.218, 48.0270
375.000000, 84.263, 52.5057
382.000000, 84.256, 58.7818
387.000000, 84.223, 63.4551
395.000000, 84.174, 71.2410
400.000000, 84.154, 76.1880
406.000000, 84.136, 82.1267
412.000000, 84.141, 88.0323
418.000000, 84.158, 93.9340
425.000000, 84.165, 100.8169
431.000000, 84.166, 106.6586
437.000000, 84.166, 112.4363
444.000000, 84.167, 119.2590
450.000000, 84.180, 125.2333
455.000000, 84.209, 130.2401
462.000000, 84.264, 137.1628
468.000000, 84.310, 142.8979
475.000000, 84.360, 149.3136
482.000000, 84.397, 155.6944
487.000000, 84.408, 160.2548
494.000000, 84.413, 166.6471
500.000000, 84.412, 172.1545
508.000000, 84.405, 179.5983
515.000000, 84.397, -173.8355
522.000000, 84.390, -167.2275
530.000000, 84.384, -159.6578
538.000000, 84.382, -152.0777
545.000000, 84.374, -145.4737
552.000000, 84.361, -138.8411
560.000000, 84.345, -131.2088
570.000000, 84.326, -121.5776
580.000000, 84.318, -111.8210
590.000000, 84.340, -102.0751
600.000000, 84.366, -92.5486
608.000000, 84.364, -85.0031
615.000000, 84.347, -78.3616
622.000000, 84.321, -71.6723
630.000000, 84.290, -63.9391
640.000000, 84.253, -54.1667
650.000000, 84.228, -44.2817
