* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.7 dBFS, measurement signal peak level -8.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:10:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0822 ms (-28 mm, -1.11 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -150.7 ppm
* Measurement: Rock Ambient R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 38.026, 120.2868
1.015000, 38.308, 119.8838
1.030000, 38.589, 119.4720
1.044000, 38.850, 119.0792
1.060000, 39.146, 118.6204
1.075000, 39.422, 118.1807
1.090000, 39.696, 117.7333
1.106000, 39.986, 117.2577
1.120000, 40.239, 116.8583
1.138000, 40.561, 116.3750
1.150000, 40.775, 116.0694
1.172000, 41.164, 115.5361
1.180000, 41.304, 115.3491
1.206000, 41.758, 114.7589
1.220000, 42.000, 114.4488
1.241000, 42.361, 113.9883
1.250000, 42.514, 113.7915
1.265000, 42.769, 113.4628
1.280000, 43.023, 113.1319
1.315000, 43.609, 112.3442
1.320000, 43.692, 112.2292
1.340000, 44.023, 111.7624
1.360000, 44.351, 111.2827
1.380000, 44.677, 110.7891
1.400000, 45.001, 110.2806
1.430000, 45.483, 109.4892
1.450000, 45.801, 108.9437
1.475000, 46.196, 108.2575
1.500000, 46.587, 107.6027
1.525000, 46.974, 106.9881
1.550000, 47.357, 106.4037
1.575000, 47.736, 105.8388
1.600000, 48.111, 105.2846
1.625000, 48.483, 104.7334
1.650000, 48.851, 104.1788
1.675000, 49.215, 103.6156
1.700000, 49.576, 103.0394
1.725000, 49.934, 102.4470
1.750000, 50.289, 101.8355
1.775000, 50.641, 101.2031
1.800000, 50.989, 100.5487
1.825000, 51.335, 99.8761
1.850000, 51.678, 99.2041
1.875000, 52.018, 98.5549
1.900000, 52.354, 97.9305
1.925000, 52.686, 97.3246
1.950000, 53.016, 96.7305
1.975000, 53.342, 96.1422
2.000000, 53.665, 95.5546
