* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.4 dBFS, measurement signal peak level -8.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 12:10:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -1.5363 ms (-527 mm, -(1 ft 8.75 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -512.8 ppm
* Measurement: Rock Ambient R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 28.460, 53.7782
1.015000, 28.326, 54.0870
1.030000, 28.225, 54.7616
1.044000, 28.164, 55.7615
1.060000, 28.139, 57.3896
1.075000, 28.162, 59.4257
1.090000, 28.232, 61.9768
1.106000, 28.363, 65.2340
1.120000, 28.521, 68.4696
1.138000, 28.779, 73.1191
1.150000, 28.983, 76.5157
1.172000, 29.419, 83.2875
1.180000, 29.596, 85.8896
1.206000, 30.231, 94.5975
1.220000, 30.606, 99.2686
1.241000, 31.208, 105.9485
1.250000, 31.479, 108.6233
1.265000, 31.944, 112.7606
1.280000, 32.424, 116.4508
1.315000, 33.588, 123.2360
1.320000, 33.757, 124.0022
1.340000, 34.440, 126.5999
1.360000, 35.124, 128.5125
1.380000, 35.803, 129.8255
1.400000, 36.469, 130.6206
1.430000, 37.431, 131.0014
1.450000, 38.040, 130.8161
1.475000, 38.770, 130.2892
1.500000, 39.500, 129.7407
1.525000, 40.243, 129.2580
1.550000, 40.998, 128.8004
1.575000, 41.760, 128.3276
1.600000, 42.525, 127.8117
1.625000, 43.290, 127.2335
1.650000, 44.051, 126.5802
1.675000, 44.802, 125.8434
1.700000, 45.541, 125.0179
1.725000, 46.262, 124.1005
1.750000, 46.963, 123.0897
1.775000, 47.638, 121.9852
1.800000, 48.285, 120.7888
1.825000, 48.900, 119.5132
1.850000, 49.484, 118.2098
1.875000, 50.042, 116.9416
1.900000, 50.576, 115.7233
1.925000, 51.088, 114.5475
1.950000, 51.581, 113.4043
1.975000, 52.056, 112.2843
2.000000, 52.514, 111.1787
2.030000, 53.046, 109.8599
2.060000, 53.560, 108.5384
2.090000, 54.059, 107.2033
2.120000, 54.548, 105.8452
2.140000, 54.869, 104.9229
2.180000, 55.504, 103.0306
2.200000, 55.817, 102.0636
2.240000, 56.427, 100.1275
2.270000, 56.868, 98.6980
2.300000, 57.294, 97.2938
2.330000, 57.706, 95.9150
2.360000, 58.106, 94.5600
2.400000, 58.621, 92.7855
2.430000, 58.997, 91.4743
