* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.5 dBFS, measurement signal peak level -7.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 9:38:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -1.4630 ms (-502 mm, -(1 ft 7.76 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -477.1 ppm
* Measurement: Rock Passive L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 47.697, 82.6302
1.015000, 47.831, 82.4276
1.030000, 47.966, 82.2418
1.044000, 48.092, 82.0838
1.060000, 48.238, 81.9217
1.075000, 48.377, 81.7877
1.090000, 48.517, 81.6711
1.106000, 48.667, 81.5653
1.120000, 48.798, 81.4869
1.138000, 48.966, 81.4035
1.150000, 49.077, 81.3577
1.172000, 49.280, 81.2917
1.180000, 49.353, 81.2730
1.206000, 49.590, 81.2291
1.220000, 49.717, 81.2149
1.241000, 49.907, 81.2043
1.250000, 49.989, 81.2031
1.265000, 50.124, 81.2052
1.280000, 50.260, 81.2115
1.315000, 50.578, 81.2390
1.320000, 50.624, 81.2440
1.340000, 50.807, 81.2661
1.360000, 50.991, 81.2901
1.380000, 51.177, 81.3149
1.400000, 51.365, 81.3391
1.430000, 51.651, 81.3724
1.450000, 51.844, 81.3919
1.475000, 52.090, 81.4196
1.500000, 52.339, 81.4683
1.525000, 52.591, 81.5406
1.550000, 52.845, 81.6288
1.575000, 53.102, 81.7248
1.600000, 53.361, 81.8214
1.625000, 53.622, 81.9120
1.650000, 53.885, 81.9908
1.675000, 54.149, 82.0527
1.700000, 54.414, 82.0933
1.725000, 54.679, 82.1088
1.750000, 54.946, 82.0960
1.775000, 55.213, 82.0523
1.800000, 55.479, 81.9760
1.825000, 55.746, 81.8699
1.850000, 56.014, 81.7506
1.875000, 56.284, 81.6383
1.900000, 56.555, 81.5345
1.925000, 56.828, 81.4332
1.950000, 57.102, 81.3277
1.975000, 57.377, 81.2123
2.000000, 57.653, 81.0818
2.030000, 57.983, 80.8992
2.060000, 58.313, 80.6822
2.090000, 58.641, 80.4254
2.120000, 58.967, 80.1245
2.140000, 59.183, 79.8978
2.180000, 59.610, 79.3814
2.200000, 59.821, 79.0971
2.240000, 60.241, 78.5145
2.270000, 60.555, 78.0802
2.300000, 60.867, 77.6449
2.330000, 61.178, 77.2027
2.360000, 61.487, 76.7482
2.400000, 61.895, 76.1149
2.430000, 62.198, 75.6143
2.470000, 62.597, 74.9060
2.500000, 62.893, 74.3405
2.540000, 63.281, 73.5384
2.580000, 63.663, 72.6912
2.620000, 64.038, 71.8301
2.650000, 64.317, 71.1836
2.690000, 64.683, 70.3185
2.720000, 64.954, 69.6646
2.760000, 65.310, 68.7821
2.800000, 65.661, 67.8828
2.850000, 66.091, 66.7284
2.900000, 66.512, 65.5335
2.950000, 66.923, 64.3006
3.000000, 67.325, 63.0517
3.040000, 67.639, 62.0501
3.070000, 67.871, 61.2982
3.110000, 68.175, 60.2946
3.150000, 68.474, 59.2890
3.200000, 68.839, 58.0272
3.250000, 69.196, 56.7571
3.300000, 69.545, 55.4758
3.350000, 69.885, 54.1845
3.400000, 70.216, 52.8896
3.450000, 70.538, 51.5973
3.500000, 70.853, 50.3119
3.550000, 71.159, 49.0360
3.600000, 71.458, 47.7707
3.650000, 71.751, 46.5148
3.700000, 72.036, 45.2631
3.750000, 72.313, 44.0118
3.820000, 72.688, 42.2689
3.870000, 72.948, 41.0384
3.950000, 73.350, 39.1073
4.000000, 73.595, 37.9278
4.060000, 73.880, 36.5353
4.120000, 74.156, 35.1563
4.180000, 74.424, 33.7918
4.250000, 74.726, 32.2289
4.310000, 74.977, 30.9230
4.370000, 75.222, 29.6530
4.440000, 75.501, 28.2117
4.500000, 75.732, 27.0001
4.550000, 75.920, 26.0069
4.620000, 76.177, 24.6464
4.680000, 76.391, 23.5130
4.750000, 76.638, 22.2329
4.820000, 76.878, 20.9950
4.870000, 77.047, 20.1319
4.940000, 77.277, 18.9509
5.000000, 77.471, 17.9642
5.080000, 77.726, 16.6861
5.150000, 77.947, 15.6037
5.220000, 78.164, 14.5534
5.300000, 78.409, 13.3873
5.380000, 78.650, 12.2514
5.450000, 78.858, 11.2781
5.520000, 79.065, 10.3228
5.600000, 79.300, 9.2552
5.700000, 79.590, 7.9515
5.800000, 79.875, 6.6697
5.900000, 80.157, 5.4009
6.000000, 80.434, 4.1476
6.080000, 80.653, 3.1556
6.150000, 80.842, 2.2928
6.220000, 81.028, 1.4324
6.300000, 81.236, 0.4507
6.400000, 81.492, -0.7714
6.500000, 81.741, -1.9833
6.600000, 81.983, -3.1830
6.700000, 82.217, -4.3749
6.800000, 82.444, -5.5566
6.900000, 82.664, -6.7177
7.000000, 82.876, -7.8544
7.100000, 83.081, -8.9720
7.200000, 83.279, -10.0664
7.300000, 83.471, -11.1284
7.400000, 83.656, -12.1566
7.500000, 83.837, -13.1554
7.620000, 84.047, -14.3125
7.750000, 84.269, -15.5089
7.880000, 84.485, -16.6508
8.000000, 84.681, -17.6629
8.120000, 84.875, -18.6373
8.250000, 85.083, -19.6531
8.380000, 85.289, -20.6390
8.500000, 85.478, -21.5294
8.620000, 85.665, -22.4022
8.750000, 85.866, -23.3354
8.850000, 86.019, -24.0490
9.000000, 86.245, -25.1123
9.120000, 86.422, -25.9570
9.250000, 86.609, -26.8681
9.380000, 86.792, -27.7736
9.500000, 86.955, -28.5993
9.620000, 87.115, -29.4137
9.750000, 87.282, -30.2821
9.880000, 87.435, -31.1289
10.000000, 87.563, -31.8889
10.150000, 87.707, -32.8095
10.300000, 87.839, -33.6918
10.440000, 87.955, -34.4804
10.600000, 88.084, -35.3426
10.750000, 88.206, -36.1138
10.900000, 88.328, -36.8528
11.060000, 88.459, -37.6105
11.200000, 88.572, -38.2502
11.380000, 88.718, -39.0464
11.500000, 88.816, -39.5630
11.720000, 88.995, -40.4845
11.800000, 89.062, -40.8124
12.060000, 89.282, -41.8554
12.200000, 89.402, -42.4048
12.410000, 89.585, -43.2172
12.500000, 89.664, -43.5628
12.650000, 89.794, -44.1368
12.800000, 89.925, -44.7114
13.150000, 90.226, -46.0666
13.200000, 90.269, -46.2625
13.400000, 90.438, -47.0518
13.600000, 90.603, -47.8443
13.800000, 90.764, -48.6327
14.000000, 90.917, -49.4028
14.300000, 91.136, -50.4987
14.500000, 91.275, -51.1741
14.750000, 91.448, -51.9514
15.000000, 91.626, -52.6633
15.250000, 91.813, -53.3348
15.500000, 92.009, -53.9998
15.750000, 92.209, -54.6869
16.000000, 92.409, -55.4151
16.250000, 92.603, -56.1827
16.500000, 92.789, -56.9732
16.750000, 92.964, -57.7601
17.000000, 93.132, -58.5167
17.250000, 93.295, -59.2270
17.500000, 93.456, -59.8880
17.750000, 93.619, -60.5119
18.000000, 93.784, -61.1175
18.250000, 93.950, -61.7231
18.500000, 94.116, -62.3384
18.750000, 94.279, -62.9600
19.000000, 94.439, -63.5764
19.250000, 94.596, -64.1710
19.500000, 94.751, -64.7343
19.750000, 94.909, -65.2677
20.000000, 95.071, -65.7853
20.299999, 95.273, -66.4194
20.600000, 95.480, -67.1041
20.900000, 95.684, -67.8590
21.200001, 95.880, -68.6730
21.400000, 96.002, -69.2301
21.799999, 96.228, -70.3192
22.000000, 96.335, -70.8293
22.400000, 96.545, -71.7627
22.700001, 96.707, -72.4079
23.000000, 96.874, -73.0427
23.299999, 97.045, -73.6975
23.600000, 97.215, -74.3856
24.000000, 97.434, -75.3405
24.299999, 97.592, -76.0589
24.700001, 97.796, -76.9885
25.000000, 97.947, -77.6622
25.400000, 98.150, -78.5528
25.799999, 98.354, -79.4716
26.200001, 98.554, -80.4409
26.500000, 98.698, -81.1966
26.900000, 98.880, -82.2191
27.200001, 99.008, -82.9788
27.600000, 99.171, -83.9628
28.000000, 99.330, -84.9086
28.500000, 99.526, -86.0579
29.000000, 99.721, -87.2128
29.500000, 99.906, -88.3959
30.000000, 100.073, -89.5711
30.400000, 100.191, -90.4493
30.700001, 100.273, -91.0405
31.100000, 100.379, -91.7099
31.500000, 100.490, -92.2240
32.000000, 100.651, -92.6447
32.500000, 100.860, -92.8785
33.000000, 101.141, -93.1122
33.500000, 101.493, -93.6475
34.000000, 101.882, -94.7473
34.500000, 102.254, -96.4651
35.000000, 102.563, -98.6217
35.500000, 102.794, -100.9394
36.000000, 102.960, -103.1942
36.500000, 103.086, -105.2859
37.000000, 103.188, -107.2112
37.500000, 103.274, -108.9965
38.200001, 103.378, -111.2894
38.700001, 103.445, -112.7899
39.500000, 103.554, -114.9982
40.000000, 103.628, -116.2994
40.599998, 103.726, -117.8318
41.200001, 103.831, -119.3850
41.799999, 103.941, -121.0124
42.500000, 104.061, -123.0518
43.099998, 104.145, -124.8975
43.700001, 104.203, -126.7557
44.400002, 104.246, -128.8571
45.000000, 104.268, -130.6012
