* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -31.5 dBFS, measurement signal peak level -8.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:24:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0105 ms (-3.6 mm, -0.14 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -43.5 ppm
* Measurement: Spatial ANC L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 46.968, -178.6052
1.015000, 47.195, 179.5416
1.030000, 47.424, 177.6769
1.044000, 47.642, 175.9238
1.060000, 47.894, 173.9032
1.075000, 48.134, 171.9908
1.090000, 48.378, 170.0623
1.106000, 48.643, 168.0042
1.120000, 48.880, 166.2330
1.138000, 49.191, 164.0188
1.150000, 49.402, 162.5837
1.172000, 49.796, 160.0353
1.180000, 49.941, 159.1342
1.206000, 50.418, 156.2938
1.220000, 50.679, 154.8166
1.241000, 51.074, 152.6631
1.250000, 51.244, 151.7615
1.265000, 51.529, 150.2848
1.280000, 51.814, 148.8382
1.315000, 52.483, 145.5656
1.320000, 52.579, 145.1085
1.340000, 52.960, 143.3027
1.360000, 53.340, 141.5295
1.380000, 53.717, 139.7844
1.400000, 54.090, 138.0635
1.430000, 54.640, 135.5206
1.450000, 55.000, 133.8487
1.475000, 55.443, 131.8019
1.500000, 55.881, 129.8502
1.525000, 56.318, 128.0072
1.550000, 56.753, 126.2607
1.575000, 57.186, 124.5962
1.600000, 57.616, 123.0001
1.625000, 58.042, 121.4602
1.650000, 58.466, 119.9657
1.675000, 58.885, 118.5068
1.700000, 59.300, 117.0752
1.725000, 59.710, 115.6635
1.750000, 60.115, 114.2654
1.775000, 60.514, 112.8755
1.800000, 60.907, 111.4898
1.825000, 61.294, 110.1093
1.850000, 61.675, 108.7511
1.875000, 62.050, 107.4379
1.900000, 62.419, 106.1732
1.925000, 62.784, 104.9518
1.950000, 63.143, 103.7674
1.975000, 63.497, 102.6142
2.000000, 63.847, 101.4867
2.030000, 64.260, 100.1606
2.060000, 64.667, 98.8564
2.090000, 65.068, 97.5674
2.120000, 65.463, 96.2871
2.140000, 65.724, 95.4360
2.180000, 66.237, 93.7352
2.200000, 66.490, 92.8880
2.240000, 66.987, 91.2260
2.270000, 67.352, 90.0190
2.300000, 67.711, 88.8436
2.330000, 68.063, 87.6953
2.360000, 68.410, 86.5694
2.400000, 68.864, 85.0956
2.430000, 69.198, 84.0053
2.470000, 69.636, 82.5647
2.500000, 69.959, 81.4897
2.540000, 70.383, 80.0586
2.580000, 70.800, 78.6332
2.620000, 71.208, 77.2316
2.650000, 71.507, 76.2007
2.690000, 71.899, 74.8520
2.720000, 72.188, 73.8574
2.760000, 72.565, 72.5501
2.800000, 72.935, 71.2602
2.850000, 73.388, 69.6652
2.900000, 73.831, 68.0820
2.950000, 74.265, 66.5084
3.000000, 74.687, 64.9555
3.040000, 75.017, 63.7328
3.070000, 75.260, 62.8274
3.110000, 75.578, 61.6349
3.150000, 75.889, 60.4578
3.200000, 76.271, 59.0057
3.250000, 76.644, 57.5711
3.300000, 77.010, 56.1505
3.350000, 77.367, 54.7436
3.400000, 77.714, 53.3535
3.450000, 78.053, 51.9829
