* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -31.1 dBFS, measurement signal peak level -9.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 11:14:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.1115 ms (-38 mm, -1.51 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -80.4 ppm
* Measurement: Spatial ANC L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 48.889, -167.8622
1.015000, 49.001, -169.3634
1.030000, 49.119, -170.8961
1.044000, 49.233, -172.3573
1.060000, 49.369, -174.0658
1.075000, 49.504, -175.7075
1.090000, 49.646, -177.3890
1.106000, 49.805, -179.2200
1.120000, 49.948, 179.1606
1.138000, 50.137, 177.0692
1.150000, 50.265, 175.6723
1.172000, 50.505, 173.1111
1.180000, 50.594, 172.1808
1.206000, 50.889, 169.1664
1.220000, 51.051, 167.5511
1.241000, 51.298, 165.1422
1.250000, 51.406, 164.1156
1.265000, 51.587, 162.4132
1.280000, 51.770, 160.7224
1.315000, 52.206, 156.8257
1.320000, 52.270, 156.2748
1.340000, 52.525, 154.0867
1.360000, 52.784, 151.9232
1.380000, 53.045, 149.7848
1.400000, 53.309, 147.6717
1.430000, 53.711, 144.5494
1.450000, 53.981, 142.5007
1.475000, 54.324, 139.9914
1.500000, 54.677, 137.5762
1.525000, 55.039, 135.2686
1.550000, 55.409, 133.0624
1.575000, 55.787, 130.9484
1.600000, 56.171, 128.9172
1.625000, 56.559, 126.9595
1.650000, 56.949, 125.0664
1.675000, 57.341, 123.2298
1.700000, 57.732, 121.4420
1.725000, 58.122, 119.6962
1.750000, 58.509, 117.9864
1.775000, 58.890, 116.3071
1.800000, 59.266, 114.6544
1.825000, 59.635, 113.0285
1.850000, 59.998, 111.4446
1.875000, 60.359, 109.9231
