* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -31.6 dBFS, measurement signal peak level -7.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:13:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.2083 ms (-71 mm, -2.81 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -136.2 ppm
* Measurement: Spatial ANC R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 43.808, 175.6034
1.015000, 44.090, 173.5211
1.030000, 44.374, 171.4539
1.044000, 44.639, 169.5350
1.060000, 44.943, 167.3515
1.075000, 45.228, 165.3115
1.090000, 45.513, 163.2792
1.106000, 45.819, 161.1372
1.120000, 46.090, 159.3156
1.138000, 46.445, 157.0661
1.150000, 46.685, 155.6237
1.172000, 47.133, 153.0914
1.180000, 47.298, 152.2044
1.206000, 47.839, 149.4352
1.220000, 48.134, 148.0104
1.241000, 48.579, 145.9507
1.250000, 48.771, 145.0941
1.265000, 49.090, 143.6982
1.280000, 49.411, 142.3391
1.315000, 50.157, 139.2920
1.320000, 50.263, 138.8693
1.340000, 50.686, 137.2061
1.360000, 51.106, 135.5827
1.380000, 51.520, 133.9943
1.400000, 51.929, 132.4363
1.430000, 52.527, 130.1486
1.450000, 52.915, 128.6535
1.475000, 53.389, 126.8330
1.500000, 53.854, 125.1071
1.525000, 54.312, 123.4851
1.550000, 54.764, 121.9531
1.575000, 55.210, 120.4961
1.600000, 55.650, 119.1010
1.625000, 56.085, 117.7560
1.650000, 56.513, 116.4510
1.675000, 56.936, 115.1772
1.700000, 57.353, 113.9272
1.725000, 57.765, 112.6947
1.750000, 58.171, 111.4742
1.775000, 58.571, 110.2612
1.800000, 58.967, 109.0526
1.825000, 59.356, 107.8494
1.850000, 59.740, 106.6676
1.875000, 60.118, 105.5275
1.900000, 60.489, 104.4312
1.925000, 60.854, 103.3732
1.950000, 61.213, 102.3472
1.975000, 61.566, 101.3477
2.000000, 61.915, 100.3695
2.030000, 62.326, 99.2173
