* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -11.1 dBFS, measurement signal peak level -11.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 8:53:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.1895 ms (-65 mm, -2.56 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -144.0 ppm
* Measurement: Treble ANC R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 37.589, 99.7028
1.015000, 38.460, 99.8194
1.030000, 39.292, 99.8334
1.044000, 40.026, 99.7627
1.060000, 40.805, 99.5921
1.075000, 41.469, 99.3527
1.090000, 42.065, 99.0441
1.106000, 42.630, 98.6537
1.120000, 43.086, 98.2804
1.138000, 43.636, 97.7744
1.150000, 43.981, 97.4246
1.172000, 44.576, 96.7639
1.180000, 44.780, 96.5187
1.206000, 45.404, 95.7088
1.220000, 45.717, 95.2669
1.241000, 46.159, 94.5996
1.250000, 46.340, 94.3126
1.265000, 46.629, 93.8338
1.280000, 46.907, 93.3552
1.315000, 47.515, 92.2420
1.320000, 47.598, 92.0836
1.340000, 47.924, 91.4526
1.360000, 48.241, 90.8255
1.380000, 48.554, 90.2029
1.400000, 48.866, 89.5849
1.430000, 49.340, 88.6669
1.450000, 49.664, 88.0607
1.475000, 50.076, 87.3088
1.500000, 50.480, 86.5627
1.525000, 50.867, 85.8231
1.550000, 51.238, 85.0913
1.575000, 51.594, 84.3688
1.600000, 51.937, 83.6564
1.625000, 52.269, 82.9552
1.650000, 52.590, 82.2659
1.675000, 52.903, 81.5891
1.700000, 53.209, 80.9253
1.725000, 53.509, 80.2749
1.750000, 53.805, 79.6383
1.775000, 54.099, 79.0156
1.800000, 54.392, 78.4071
1.825000, 54.685, 77.8129
1.850000, 54.976, 77.2325
1.875000, 55.260, 76.6654
1.900000, 55.538, 76.1105
1.925000, 55.810, 75.5668
1.950000, 56.076, 75.0337
1.975000, 56.337, 74.5107
2.000000, 56.594, 73.9971
2.030000, 56.897, 73.3930
2.060000, 57.195, 72.8016
2.090000, 57.490, 72.2227
2.120000, 57.783, 71.6561
2.140000, 57.977, 71.2851
2.180000, 58.364, 70.5602
2.200000, 58.557, 70.2077
2.240000, 58.940, 69.5308
2.270000, 59.223, 69.0480
2.300000, 59.502, 68.5820
2.330000, 59.778, 68.1287
2.360000, 60.051, 67.6841
2.400000, 60.411, 67.0992
2.430000, 60.679, 66.6628
2.470000, 61.033, 66.0795
2.500000, 61.298, 65.6386
2.540000, 61.650, 65.0446
2.580000, 62.000, 64.4512
2.620000, 62.348, 63.8782
2.650000, 62.607, 63.4638
2.690000, 62.951, 62.9241
2.720000, 63.207, 62.5235
2.760000, 63.546, 61.9876
2.800000, 63.882, 61.4427
2.850000, 64.298, 60.7388
2.900000, 64.710, 60.0017
2.950000, 65.117, 59.2382
3.000000, 65.521, 58.4785
3.040000, 65.841, 57.8786
3.070000, 66.079, 57.4300
3.110000, 66.395, 56.8289
3.150000, 66.707, 56.2197
3.200000, 67.092, 55.4397
3.250000, 67.472, 54.6327
3.300000, 67.845, 53.7977
3.350000, 68.213, 52.9501
3.400000, 68.576, 52.1026
3.450000, 68.933, 51.2545
3.500000, 69.284, 50.4020
3.550000, 69.630, 49.5411
3.600000, 69.970, 48.6684
3.650000, 70.303, 47.7818
3.700000, 70.631, 46.8851
3.750000, 70.953, 45.9862
3.820000, 71.393, 44.7288
3.870000, 71.701, 43.8317
3.950000, 72.182, 42.3965
4.000000, 72.476, 41.4985
4.060000, 72.822, 40.4206
4.120000, 73.160, 39.3462
4.180000, 73.491, 38.2776
4.250000, 73.868, 37.0390
4.310000, 74.184, 35.9840
4.370000, 74.495, 34.9348
4.440000, 74.850, 33.7195
4.500000, 75.148, 32.6874
4.550000, 75.391, 31.8339
4.620000, 75.726, 30.6476
4.680000, 76.008, 29.6370
4.750000, 76.331, 28.4637
4.820000, 76.648, 27.2986
4.870000, 76.870, 26.4731
4.940000, 77.176, 25.3255
5.000000, 77.434, 24.3472
5.080000, 77.770, 23.0464
5.150000, 78.059, 21.9099
5.220000, 78.343, 20.7768
5.300000, 78.660, 19.4885
5.380000, 78.970, 18.2065
5.450000, 79.234, 17.0881
5.520000, 79.493, 15.9704
5.600000, 79.782, 14.6929
5.700000, 80.132, 13.1028
5.800000, 80.469, 11.5286
5.900000, 80.794, 9.9703
6.000000, 81.106, 8.4193
6.080000, 81.347, 7.1911
6.150000, 81.551, 6.1335
6.220000, 81.750, 5.0949
6.300000, 81.969, 3.9259
6.400000, 82.232, 2.4867
6.500000, 82.485, 1.0862
6.600000, 82.728, -0.2613
6.700000, 82.962, -1.5612
6.800000, 83.186, -2.8191
6.900000, 83.404, -4.0264
7.000000, 83.616, -5.1769
7.100000, 83.823, -6.2763
7.200000, 84.025, -7.3303
7.300000, 84.224, -8.3405
7.400000, 84.421, -9.3069
7.500000, 84.617, -10.2330
7.620000, 84.849, -11.3035
7.750000, 85.099, -12.4240
7.880000, 85.348, -13.5059
8.000000, 85.576, -14.4800
8.120000, 85.802, -15.4401
8.250000, 86.043, -16.4645
8.380000, 86.280, -17.4709
8.500000, 86.494, -18.3862
8.620000, 86.703, -19.2875
8.750000, 86.924, -20.2389
8.850000, 87.090, -20.9494
9.000000, 87.333, -21.9812
9.120000, 87.523, -22.7704
9.250000, 87.726, -23.5832
9.380000, 87.927, -24.3555
9.500000, 88.112, -25.0351
9.620000, 88.298, -25.6825
9.750000, 88.500, -26.3534
9.880000, 88.696, -27.0053
10.000000, 88.869, -27.5948
10.150000, 89.079, -28.3225
10.300000, 89.283, -29.0578
10.440000, 89.472, -29.7553
10.600000, 89.685, -30.5684
10.750000, 89.886, -31.3502
10.900000, 90.085, -32.1436
11.060000, 90.293, -32.9914
11.200000, 90.469, -33.7295
11.380000, 90.690, -34.6529
11.500000, 90.835, -35.2461
11.720000, 91.098, -36.2788
11.800000, 91.195, -36.6337
12.060000, 91.519, -37.7229
12.200000, 91.702, -38.2778
12.410000, 91.987, -39.0911
12.500000, 92.113, -39.4422
12.650000, 92.329, -40.0360
12.800000, 92.548, -40.6529
13.150000, 93.074, -42.2212
13.200000, 93.150, -42.4613
13.400000, 93.456, -43.4599
13.600000, 93.760, -44.5097
13.800000, 94.062, -45.5990
14.000000, 94.362, -46.7136
14.300000, 94.808, -48.4181
14.500000, 95.106, -49.5751
14.750000, 95.483, -51.0592
15.000000, 95.866, -52.6044
15.250000, 96.256, -54.2343
15.500000, 96.649, -55.9625
15.750000, 97.039, -57.7922
16.000000, 97.423, -59.7199
16.250000, 97.802, -61.7399
16.500000, 98.176, -63.8516
16.750000, 98.546, -66.0633
17.000000, 98.912, -68.3926
17.250000, 99.274, -70.8592
17.500000, 99.624, -73.4801
17.750000, 99.957, -76.2612
18.000000, 100.266, -79.1921
18.250000, 100.546, -82.2491
18.500000, 100.794, -85.3947
18.750000, 101.006, -88.5860
19.000000, 101.186, -91.7827
19.250000, 101.337, -94.9474
19.500000, 101.461, -98.0585
19.750000, 101.564, -101.1060
20.000000, 101.649, -104.0912
20.299999, 101.730, -107.6055
20.600000, 101.791, -111.0642
20.900000, 101.829, -114.4789
21.200001, 101.841, -117.8454
21.400000, 101.833, -120.0530
21.799999, 101.779, -124.3415
22.000000, 101.734, -126.4037
22.400000, 101.614, -130.3270
22.700001, 101.503, -133.0778
23.000000, 101.379, -135.6614
23.299999, 101.244, -138.0829
23.600000, 101.102, -140.3493
24.000000, 100.903, -143.1414
24.299999, 100.749, -145.0700
24.700001, 100.538, -147.4301
25.000000, 100.376, -149.0473
25.400000, 100.157, -151.0035
25.799999, 99.934, -152.7274
26.200001, 99.713, -154.2140
26.500000, 99.552, -155.1799
26.900000, 99.351, -156.3035
27.200001, 99.212, -157.0609
27.600000, 99.038, -158.0140
28.000000, 98.870, -158.9373
28.500000, 98.652, -160.0275
29.000000, 98.423, -160.9543
29.500000, 98.192, -161.6456
30.000000, 97.978, -162.1252
30.400000, 97.822, -162.4130
30.700001, 97.714, -162.5975
31.100000, 97.579, -162.8119
31.500000, 97.454, -162.9849
32.000000, 97.314, -163.1314
32.500000, 97.201, -163.2225
33.000000, 97.122, -163.3405
33.500000, 97.071, -163.6016
34.000000, 97.031, -164.0799
34.500000, 96.977, -164.7427
35.000000, 96.894, -165.4552
35.500000, 96.785, -166.0683
36.000000, 96.668, -166.5113
36.500000, 96.557, -166.8124
