* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -10.3 dBFS, measurement signal peak level -10.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 12:14:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.7977 ms (-274 mm, -10.77 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -700.1 ppm
* Measurement: Treble ANC R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 33.047, 133.1255
1.015000, 34.203, 132.7512
1.030000, 35.305, 132.3060
1.044000, 36.275, 131.8325
1.060000, 37.305, 131.2293
1.075000, 38.183, 130.6101
1.090000, 38.969, 129.9492
1.106000, 39.715, 129.2330
1.120000, 40.313, 128.6460
1.138000, 41.029, 127.9659
1.150000, 41.476, 127.5515
1.172000, 42.238, 126.8500
1.180000, 42.497, 126.6085
1.206000, 43.283, 125.8533
1.220000, 43.673, 125.4564
1.241000, 44.219, 124.8617
1.250000, 44.440, 124.6045
1.265000, 44.793, 124.1698
1.280000, 45.129, 123.7250
1.315000, 45.861, 122.6349
1.320000, 45.961, 122.4722
1.340000, 46.352, 121.8020
1.360000, 46.735, 121.0992
1.380000, 47.114, 120.3622
1.400000, 47.495, 119.5903
1.430000, 48.084, 118.3665
1.450000, 48.495, 117.5099
1.475000, 49.027, 116.4219
1.500000, 49.554, 115.3804
1.525000, 50.065, 114.4038
1.550000, 50.560, 113.4778
1.575000, 51.039, 112.5866
1.600000, 51.505, 111.7168
1.625000, 51.958, 110.8570
1.650000, 52.400, 109.9979
1.675000, 52.832, 109.1315
1.700000, 53.256, 108.2515
1.725000, 53.671, 107.3525
1.750000, 54.081, 106.4302
1.775000, 54.485, 105.4811
1.800000, 54.886, 104.5031
1.825000, 55.283, 103.4992
1.850000, 55.676, 102.4902
1.875000, 56.061, 101.5032
1.900000, 56.437, 100.5437
1.925000, 56.806, 99.6076
1.950000, 57.166, 98.6899
1.975000, 57.520, 97.7857
2.000000, 57.867, 96.8903
2.030000, 58.275, 95.8219
2.060000, 58.675, 94.7538
2.090000, 59.068, 93.6803
2.120000, 59.454, 92.5962
2.140000, 59.708, 91.8654
2.180000, 60.209, 90.3807
2.200000, 60.455, 89.6292
2.240000, 60.940, 88.1329
2.270000, 61.294, 87.0294
2.300000, 61.640, 85.9430
2.330000, 61.979, 84.8717
2.360000, 62.311, 83.8131
2.400000, 62.744, 82.4167
2.430000, 63.061, 81.3773
2.470000, 63.477, 79.9967
2.500000, 63.782, 78.9617
2.540000, 64.182, 77.5777
2.580000, 64.575, 76.1889
2.620000, 64.957, 74.8055
2.650000, 65.237, 73.7768
2.690000, 65.601, 72.4196
2.720000, 65.868, 71.4132
2.760000, 66.216, 70.0869
2.800000, 66.557, 68.7773
2.850000, 66.971, 67.1614
2.900000, 67.376, 65.5644
2.950000, 67.770, 63.9796
3.000000, 68.151, 62.4034
3.040000, 68.448, 61.1522
3.070000, 68.665, 60.2222
3.110000, 68.948, 58.9959
3.150000, 69.225, 57.7874
3.200000, 69.563, 56.3037
3.250000, 69.892, 54.8510
3.300000, 70.213, 53.4260
3.350000, 70.525, 52.0180
3.400000, 70.828, 50.6225
3.450000, 71.121, 49.2451
3.500000, 71.405, 47.8918
3.550000, 71.683, 46.5679
3.600000, 71.954, 45.2771
3.650000, 72.219, 44.0202
3.700000, 72.477, 42.7904
3.750000, 72.729, 41.5788
3.820000, 73.069, 39.9139
3.870000, 73.304, 38.7523
3.950000, 73.671, 36.9516
4.000000, 73.895, 35.8665
4.060000, 74.159, 34.6031
4.120000, 74.416, 33.3727
4.180000, 74.666, 32.1715
4.250000, 74.951, 30.8080
4.310000, 75.190, 29.6736
4.370000, 75.426, 28.5725
4.440000, 75.697, 27.3296
4.500000, 75.926, 26.2968
4.550000, 76.113, 25.4559
4.620000, 76.372, 24.3049
4.680000, 76.591, 23.3395
4.750000, 76.844, 22.2358
4.820000, 77.095, 21.1584
4.870000, 77.273, 20.4058
4.940000, 77.520, 19.3714
5.000000, 77.729, 18.4972
5.080000, 78.005, 17.3411
5.150000, 78.244, 16.3357
5.220000, 78.482, 15.3406
5.300000, 78.750, 14.2159
5.380000, 79.015, 13.0979
5.450000, 79.244, 12.1187
5.520000, 79.469, 11.1357
5.600000, 79.723, 10.0104
5.700000, 80.034, 8.6059
5.800000, 80.337, 7.2032
5.900000, 80.631, 5.7977
6.000000, 80.916, 4.3863
6.080000, 81.137, 3.2600
