* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -21.7 dBFS, measurement signal peak level -21.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 20, 2024 12:37:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0675 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: ZMF Caldera L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 80.681, -98.0529
1.015000, 80.817, -96.8757
1.030000, 80.954, -95.7342
1.044000, 81.083, -94.7022
1.060000, 81.229, -93.5634
1.075000, 81.366, -92.5358
1.090000, 81.503, -91.5466
1.106000, 81.651, -90.5278
1.120000, 81.785, -89.6560
1.138000, 81.965, -88.5552
1.150000, 82.091, -87.8340
1.172000, 82.330, -86.5464
1.180000, 82.419, -86.0943
1.206000, 82.716, -84.6618
1.220000, 82.879, -83.9149
1.241000, 83.125, -82.8282
1.250000, 83.231, -82.3750
1.265000, 83.406, -81.6369
1.280000, 83.581, -80.9205
1.315000, 83.978, -79.3352
1.320000, 84.033, -79.1186
1.340000, 84.249, -78.2775
1.360000, 84.454, -77.4755
1.380000, 84.647, -76.7517
1.400000, 84.826, -76.0826
1.430000, 85.063, -75.1538
1.450000, 85.198, -74.5837
1.475000, 85.338, -73.9185
1.500000, 85.447, -73.2865
1.525000, 85.528, -72.6789
1.550000, 85.586, -72.0958
1.575000, 85.623, -71.5595
1.600000, 85.642, -71.0882
1.625000, 85.647, -70.6434
1.650000, 85.641, -70.2260
1.675000, 85.628, -69.8364
1.700000, 85.611, -69.4751
1.725000, 85.592, -69.1427
1.750000, 85.576, -68.8394
1.775000, 85.565, -68.5827
1.800000, 85.563, -68.3893
1.825000, 85.571, -68.2251
1.850000, 85.589, -68.0885
1.875000, 85.609, -67.9745
1.900000, 85.631, -67.8792
1.925000, 85.653, -67.8000
1.950000, 85.676, -67.7342
1.975000, 85.698, -67.6968
2.000000, 85.721, -67.7021
2.030000, 85.748, -67.7186
2.060000, 85.774, -67.7461
2.090000, 85.799, -67.7832
2.120000, 85.822, -67.8288
2.140000, 85.837, -67.8636
2.180000, 85.863, -67.9649
2.200000, 85.875, -68.0422
2.240000, 85.897, -68.2198
2.270000, 85.912, -68.3744
2.300000, 85.925, -68.5425
2.330000, 85.938, -68.7196
2.360000, 85.948, -68.9015
2.400000, 85.961, -69.1928
2.430000, 85.969, -69.4140
2.470000, 85.978, -69.6979
2.500000, 85.984, -69.8993
2.540000, 85.989, -70.1497
2.580000, 85.992, -70.4037
2.620000, 85.993, -70.7000
2.650000, 85.991, -70.9279
2.690000, 85.987, -71.2349
2.720000, 85.982, -71.4630
2.760000, 85.975, -71.7561
2.800000, 85.966, -72.0713
2.850000, 85.954, -72.4352
2.900000, 85.941, -72.7476
2.950000, 85.927, -73.0083
3.000000, 85.910, -73.2718
3.040000, 85.894, -73.4804
3.070000, 85.881, -73.6276
3.110000, 85.864, -73.8090
3.150000, 85.847, -73.9707
3.200000, 85.829, -74.1704
3.250000, 85.813, -74.3411
3.300000, 85.803, -74.4621
3.350000, 85.795, -74.5314
3.400000, 85.790, -74.5908
3.450000, 85.787, -74.6301
3.500000, 85.787, -74.6434
3.550000, 85.793, -74.6368
3.600000, 85.805, -74.6428
3.650000, 85.824, -74.6480
3.700000, 85.851, -74.6309
3.750000, 85.884, -74.5812
3.820000, 85.941, -74.5093
3.870000, 85.988, -74.4594
3.950000, 86.076, -74.4073
4.000000, 86.138, -74.4302
4.060000, 86.222, -74.4997
4.120000, 86.315, -74.5754
4.180000, 86.418, -74.6648
4.250000, 86.546, -74.8342
4.310000, 86.659, -75.0265
4.370000, 86.774, -75.2822
4.440000, 86.910, -75.6877
4.500000, 87.030, -76.0795
4.550000, 87.132, -76.4296
4.620000, 87.276, -76.9847
4.680000, 87.397, -77.5043
4.750000, 87.534, -78.1594
4.820000, 87.667, -78.8962
4.870000, 87.760, -79.4594
4.940000, 87.887, -80.2785
5.000000, 87.992, -81.0128
5.080000, 88.124, -82.0158
5.150000, 88.232, -82.9037
